The aggregate error is 26.33222623338139, and the utility is 151.90512053740431
The aggregate error is 34.801646124002325, and the utility is 114.93709193374168
The aggregate error is 32.49760582344119, and the utility is 123.08599044901696
The aggregate error is 31.42738393619993, and the utility is 127.27753630783637
The aggregate error is 34.04991451420188, and the utility is 117.47459742759824
The aggregate error is 32.20045273126842, and the utility is 124.221855928
The aggregate error is 33.34036049637211, and the utility is 119.97470754508655
The aggregate error is 36.84805598677844, and the utility is 108.55389498526738
The aggregate error is 36.96996217494135, and the utility is 108.19594515872251
The aggregate error is 32.866895901878365, and the utility is 121.70300511316
The aggregate error is 33.76748893918318, and the utility is 118.45713512201591
The aggregate error is 30.378795404236804, and the utility is 131.67079032508764
The aggregate error is 35.853465822007315, and the utility is 111.56522551704748
The aggregate error is 33.81102506789412, and the utility is 118.30460602622406
The aggregate error is 35.0998659739438, and the utility is 113.96054910777661
The aggregate error is 28.897791862244258, and the utility is 138.41888055211953
The aggregate error is 30.726551470324985, and the utility is 130.18057050310742
The aggregate error is 37.39474113517915, and the utility is 106.96691242066106
The aggregate error is 36.872331477141906, and the utility is 108.48242678876169
The aggregate error is 38.43779038028703, and the utility is 104.06425448564326
